# https://wikirate.org/Answer.csv?filter%5Bcompany_group%5D%5B%5D=Apparel+Companies&filter%5Bcompany_identifier%5D%5Btype%5D=&filter%5Bcompany_identifier%5D%5Bvalue%5D=&filter%5Bcompany_keyword%5D=&filter%5Bmetric%5D%5B%5D=~848767&filter%5Bmetric_keyword%5D=&filter%5Bstatus%5D=exists&filter%5Bvalue%5D%5Bfrom%5D=&filter%5Bvalue%5D%5Bto%5D=
"# Wikirate.org, licensed under CC BY 4.0 (https://creativecommons.org/licenses/by/4.0). See https://wikirate.org/Attribution_Guide."
# 2024-12-10 20:18:40 UTC
#
Answer Page,Metric,Company,Year,Value,Source Page
https://wikirate.org/~18074759,"Global Reporting Initiative+Total Waste Generated, GRI 306-2 (formerly G4-EN23-a)",Puma,2023,5595 ,https://wikirate.org/~18046254
https://wikirate.org/~18084064,"Global Reporting Initiative+Total Waste Generated, GRI 306-2 (formerly G4-EN23-a)",H&M,2023,Unknown,https://wikirate.org/~19244996
https://wikirate.org/~18063433,"Global Reporting Initiative+Total Waste Generated, GRI 306-2 (formerly G4-EN23-a)",Marks and Spencer Group plc,2023,69000,https://wikirate.org/~18045616
https://wikirate.org/~18087505,"Global Reporting Initiative+Total Waste Generated, GRI 306-2 (formerly G4-EN23-a)",Asos,2023,Unknown,https://wikirate.org/~18087425
https://wikirate.org/~18083348,"Global Reporting Initiative+Total Waste Generated, GRI 306-2 (formerly G4-EN23-a)",Adidas AG,2023,26382,https://wikirate.org/~18074968
https://wikirate.org/~18082858,"Global Reporting Initiative+Total Waste Generated, GRI 306-2 (formerly G4-EN23-a)",Nike Inc.,2023,236984,https://wikirate.org/~18082680
https://wikirate.org/~18084957,"Global Reporting Initiative+Total Waste Generated, GRI 306-2 (formerly G4-EN23-a)",Burberry Group plc,2023,Unknown,https://wikirate.org/~18084773
https://wikirate.org/~18086335,"Global Reporting Initiative+Total Waste Generated, GRI 306-2 (formerly G4-EN23-a)",Inditex,2023,21606,https://wikirate.org/~18085986
https://wikirate.org/~19538460,"Global Reporting Initiative+Total Waste Generated, GRI 306-2 (formerly G4-EN23-a)",Tapestry Inc,2023,Unknown,https://wikirate.org/~19514711
https://wikirate.org/~18087998,"Global Reporting Initiative+Total Waste Generated, GRI 306-2 (formerly G4-EN23-a)",Guess? Inc,2023,102,https://wikirate.org/~18086297
https://wikirate.org/~18082950,"Global Reporting Initiative+Total Waste Generated, GRI 306-2 (formerly G4-EN23-a)",Ralph Lauren Corporation,2023,10724,https://wikirate.org/~18082539
https://wikirate.org/~19859296,"Global Reporting Initiative+Total Waste Generated, GRI 306-2 (formerly G4-EN23-a)",Prada,2023,2275,https://wikirate.org/~19859227
https://wikirate.org/~20243343,"Global Reporting Initiative+Total Waste Generated, GRI 306-2 (formerly G4-EN23-a)",Esprit Holdings Limited,2023,2280.9,https://wikirate.org/~19871283
https://wikirate.org/~18037431,"Global Reporting Initiative+Total Waste Generated, GRI 306-2 (formerly G4-EN23-a)",Next PLC,2023,34013,https://wikirate.org/~18037330
https://wikirate.org/~19574368,"Global Reporting Initiative+Total Waste Generated, GRI 306-2 (formerly G4-EN23-a)",Moncler,2023,1809.6,https://wikirate.org/~19564366
https://wikirate.org/~19867258,"Global Reporting Initiative+Total Waste Generated, GRI 306-2 (formerly G4-EN23-a)",Salvatore Ferragamo SpA,2023,711.13,https://wikirate.org/~19866985
https://wikirate.org/~19866685,"Global Reporting Initiative+Total Waste Generated, GRI 306-2 (formerly G4-EN23-a)",Asics Corporation,2023,2461 ,https://wikirate.org/~19866602
https://wikirate.org/~18083625,"Global Reporting Initiative+Total Waste Generated, GRI 306-2 (formerly G4-EN23-a)",Fast Retailing,2023,54522,https://wikirate.org/~18083617
https://wikirate.org/~18085267,"Global Reporting Initiative+Total Waste Generated, GRI 306-2 (formerly G4-EN23-a)",Gildan Activewear Inc.,2023,67000,https://wikirate.org/~14548545
https://wikirate.org/~19858029,"Global Reporting Initiative+Total Waste Generated, GRI 306-2 (formerly G4-EN23-a)",Foot Locker Inc.,2023,7470,https://wikirate.org/~19857390
https://wikirate.org/~20245514,"Global Reporting Initiative+Total Waste Generated, GRI 306-2 (formerly G4-EN23-a)",JD Sports Fashion plc,2023,Unknown,https://wikirate.org/~20244874
https://wikirate.org/~18085779,"Global Reporting Initiative+Total Waste Generated, GRI 306-2 (formerly G4-EN23-a)",Hermes International,2023,16340,https://wikirate.org/~18085711
https://wikirate.org/~19509610,"Global Reporting Initiative+Total Waste Generated, GRI 306-2 (formerly G4-EN23-a)",TOD'S,2023, 2770.80,https://wikirate.org/~19465592
https://wikirate.org/~18083161,"Global Reporting Initiative+Total Waste Generated, GRI 306-2 (formerly G4-EN23-a)",Kering,2023,18945,https://wikirate.org/~20294256
https://wikirate.org/~20291501,"Global Reporting Initiative+Total Waste Generated, GRI 306-2 (formerly G4-EN23-a)",Li-Ning,2023,831.75,https://wikirate.org/~20291325
https://wikirate.org/~18084385,"Global Reporting Initiative+Total Waste Generated, GRI 306-2 (formerly G4-EN23-a)",Sports Direct,2023,Unknown,https://wikirate.org/~18084191
https://wikirate.org/~20263149,"Global Reporting Initiative+Total Waste Generated, GRI 306-2 (formerly G4-EN23-a)",Anta Sports Products,2023,11940.1,https://wikirate.org/~20258980
https://wikirate.org/~18084832,"Global Reporting Initiative+Total Waste Generated, GRI 306-2 (formerly G4-EN23-a)",Abercrombie & Fitch,2023,Unknown,https://wikirate.org/~18084826
https://wikirate.org/~20290304,"Global Reporting Initiative+Total Waste Generated, GRI 306-2 (formerly G4-EN23-a)",Bosideng International Holdings Limited,2023,9623.68,https://wikirate.org/~20271162
https://wikirate.org/~18074189,"Global Reporting Initiative+Total Waste Generated, GRI 306-2 (formerly G4-EN23-a)",DSW Inc.,2023,Unknown,https://wikirate.org/~18035242
https://wikirate.org/~20294081,"Global Reporting Initiative+Total Waste Generated, GRI 306-2 (formerly G4-EN23-a)",Lojas Renner S.A.,2023,6034.36,https://wikirate.org/~20293940
https://wikirate.org/~18084335,"Global Reporting Initiative+Total Waste Generated, GRI 306-2 (formerly G4-EN23-a)",Deckers Outdoor Corporation,2023,209,https://wikirate.org/~18078571
https://wikirate.org/~20244490,"Global Reporting Initiative+Total Waste Generated, GRI 306-2 (formerly G4-EN23-a)",Burlington Stores Inc,2023, 133956 ,https://wikirate.org/~20244436
https://wikirate.org/~18087938,"Global Reporting Initiative+Total Waste Generated, GRI 306-2 (formerly G4-EN23-a)",Buckle Inc,2023,Unknown,https://wikirate.org/~18083746
https://wikirate.org/~20293219,"Global Reporting Initiative+Total Waste Generated, GRI 306-2 (formerly G4-EN23-a)",Christian Dior,2023,125095,https://wikirate.org/~20293136
https://wikirate.org/~18082712,"Global Reporting Initiative+Total Waste Generated, GRI 306-2 (formerly G4-EN23-a)",Capri Holdings Ltd (formerly Michael Kors),2023,Unknown,https://wikirate.org/~18035418
https://wikirate.org/~19382043,"Global Reporting Initiative+Total Waste Generated, GRI 306-2 (formerly G4-EN23-a)",L Brands,2023,103450,https://wikirate.org/~19381396
https://wikirate.org/~20264707,"Global Reporting Initiative+Total Waste Generated, GRI 306-2 (formerly G4-EN23-a)",Brunello Cucinelli,2023,547.58,https://wikirate.org/~20264452
https://wikirate.org/~20264291,"Global Reporting Initiative+Total Waste Generated, GRI 306-2 (formerly G4-EN23-a)",Canada Goose,2023,Unknown,https://wikirate.org/~20263588
https://wikirate.org/~19678540,"Global Reporting Initiative+Total Waste Generated, GRI 306-2 (formerly G4-EN23-a)",Van de Velde,2023,Unknown,https://wikirate.org/~19678442
https://wikirate.org/~19381497,"Global Reporting Initiative+Total Waste Generated, GRI 306-2 (formerly G4-EN23-a)",Arvind Limited,2023,27878.78,https://wikirate.org/~19381386
https://wikirate.org/~19577627,"Global Reporting Initiative+Total Waste Generated, GRI 306-2 (formerly G4-EN23-a)",Carter's Inc,2023,28868,https://wikirate.org/~19577571
https://wikirate.org/~19377877,"Global Reporting Initiative+Total Waste Generated, GRI 306-2 (formerly G4-EN23-a)",Vera Bradley Inc.,2023,Unknown,https://wikirate.org/~19375633
https://wikirate.org/~19262140,"Global Reporting Initiative+Total Waste Generated, GRI 306-2 (formerly G4-EN23-a)",Swatch Group,2023,9231,https://wikirate.org/~19247682
https://wikirate.org/~18088528,"Global Reporting Initiative+Total Waste Generated, GRI 306-2 (formerly G4-EN23-a)",Aditya Birla Fashion & Retail Ltd,2023,5555,https://wikirate.org/~15696802
https://wikirate.org/~18085075,"Global Reporting Initiative+Total Waste Generated, GRI 306-2 (formerly G4-EN23-a)",Onward Holdings,2023,Unknown,https://wikirate.org/~18085002
https://wikirate.org/~20266212,"Global Reporting Initiative+Total Waste Generated, GRI 306-2 (formerly G4-EN23-a)",Carrefour S.A.,2023,671,https://wikirate.org/~19862670
https://wikirate.org/~19987491,"Global Reporting Initiative+Total Waste Generated, GRI 306-2 (formerly G4-EN23-a)",Tesco PLC,2023,Unknown,https://wikirate.org/~19983411
https://wikirate.org/~15573837,"Global Reporting Initiative+Total Waste Generated, GRI 306-2 (formerly G4-EN23-a)",Puma,2022,4527,https://wikirate.org/~15553292
https://wikirate.org/~15519520,"Global Reporting Initiative+Total Waste Generated, GRI 306-2 (formerly G4-EN23-a)",H&M,2022,Unknown,https://wikirate.org/~15076047
https://wikirate.org/~13861921,"Global Reporting Initiative+Total Waste Generated, GRI 306-2 (formerly G4-EN23-a)",Gap inc.,2022,Unknown,https://wikirate.org/~13651292
https://wikirate.org/~13730464,"Global Reporting Initiative+Total Waste Generated, GRI 306-2 (formerly G4-EN23-a)",Marks and Spencer Group plc,2022,78474,https://wikirate.org/~13727504
https://wikirate.org/~14549820,"Global Reporting Initiative+Total Waste Generated, GRI 306-2 (formerly G4-EN23-a)",Asos,2022,Unknown,https://wikirate.org/~14549759
https://wikirate.org/~13872443,"Global Reporting Initiative+Total Waste Generated, GRI 306-2 (formerly G4-EN23-a)",Burberry Group plc,2022,Unknown,https://wikirate.org/~13758186
https://wikirate.org/~15608324,"Global Reporting Initiative+Total Waste Generated, GRI 306-2 (formerly G4-EN23-a)",Louis Vuitton Malletier SA (LVMH),2022,118330,https://wikirate.org/~15560780
https://wikirate.org/~15561114,"Global Reporting Initiative+Total Waste Generated, GRI 306-2 (formerly G4-EN23-a)",Inditex,2022,20632.28,https://wikirate.org/~15087738
https://wikirate.org/~18034001,"Global Reporting Initiative+Total Waste Generated, GRI 306-2 (formerly G4-EN23-a)",Zalando SE,2022,32528,https://wikirate.org/~15087494
https://wikirate.org/~14313327,"Global Reporting Initiative+Total Waste Generated, GRI 306-2 (formerly G4-EN23-a)",Tiffany & Co.,2022,Unknown,https://wikirate.org/~7626138
https://wikirate.org/~18084070,"Global Reporting Initiative+Total Waste Generated, GRI 306-2 (formerly G4-EN23-a)",Hugo Boss AG,2022,8161,https://wikirate.org/~18037865
https://wikirate.org/~18045681,"Global Reporting Initiative+Total Waste Generated, GRI 306-2 (formerly G4-EN23-a)",Nordstrom,2022,Unknown,https://wikirate.org/~18045275
https://wikirate.org/~14547742,"Global Reporting Initiative+Total Waste Generated, GRI 306-2 (formerly G4-EN23-a)",Ralph Lauren Corporation,2022,8271,https://wikirate.org/~13015908
https://wikirate.org/~15578242,"Global Reporting Initiative+Total Waste Generated, GRI 306-2 (formerly G4-EN23-a)",Prada,2022,2037,https://wikirate.org/~15578121
https://wikirate.org/~15608425,"Global Reporting Initiative+Total Waste Generated, GRI 306-2 (formerly G4-EN23-a)",Esprit Holdings Limited,2022,Unknown,https://wikirate.org/~15550662
https://wikirate.org/~19247380,"Global Reporting Initiative+Total Waste Generated, GRI 306-2 (formerly G4-EN23-a)",American Eagle Outfitters,2022,29000,https://wikirate.org/~18087402
https://wikirate.org/~19575114,"Global Reporting Initiative+Total Waste Generated, GRI 306-2 (formerly G4-EN23-a)",Under Armour,2022,Unknown,https://wikirate.org/~19574626
https://wikirate.org/~14553230,"Global Reporting Initiative+Total Waste Generated, GRI 306-2 (formerly G4-EN23-a)",Next PLC,2022,31292,https://wikirate.org/~14549843
https://wikirate.org/~19855406,"Global Reporting Initiative+Total Waste Generated, GRI 306-2 (formerly G4-EN23-a)",PVH,2022,Unknown,https://wikirate.org/~19855349
https://wikirate.org/~18086092,"Global Reporting Initiative+Total Waste Generated, GRI 306-2 (formerly G4-EN23-a)",Macy's,2022,28047,https://wikirate.org/~18043691
https://wikirate.org/~18082624,"Global Reporting Initiative+Total Waste Generated, GRI 306-2 (formerly G4-EN23-a)",Salvatore Ferragamo SpA,2022,731.8,https://wikirate.org/~18074105
https://wikirate.org/~18084351,"Global Reporting Initiative+Total Waste Generated, GRI 306-2 (formerly G4-EN23-a)",Asics Corporation,2022,1674,https://wikirate.org/~18081897
https://wikirate.org/~18038810,"Global Reporting Initiative+Total Waste Generated, GRI 306-2 (formerly G4-EN23-a)",Columbia Sportswear,2022,Unknown,https://wikirate.org/~18038086
https://wikirate.org/~20292539,"Global Reporting Initiative+Total Waste Generated, GRI 306-2 (formerly G4-EN23-a)",VF,2022,19989,https://wikirate.org/~20292468
https://wikirate.org/~14547973,"Global Reporting Initiative+Total Waste Generated, GRI 306-2 (formerly G4-EN23-a)",Fast Retailing,2022,241873,https://wikirate.org/~14547965
